gameId,title,genres
1,COUNTER-STRIKE,Adventure|Animation|Children|Comedy|Fantasy
2,TEAM FORTRESS CLASSIC,Adventure|Children|Fantasy
3,DAY OF DEFEAT,Comedy|Romance
4,DEATHMATCH CLASSIC,Comedy|Drama|Romance
5,HALF-LIFE: OPPOSING FORCE,Comedy
6,RICOCHET,Action|Crime|Thriller
7,HALF-LIFE,Comedy|Romance
8,COUNTER-STRIKE: CONDITION ZERO,Adventure|Children
9,COUNTER-STRIKE: CONDITION ZERO,Action
10,HALF-LIFE: BLUE SHIFT,Action|Adventure|Thriller
11,HALF-LIFE 2,Comedy|Drama|Romance
12,COUNTER-STRIKE: SOURCE,Comedy|Horror
13,HALF-LIFE: SOURCE,Adventure|Animation|Children
14,DAY OF DEFEAT: SOURCE,Drama
15,HALF-LIFE 2: DEATHMATCH,Action|Adventure|Romance
16,HALF-LIFE 2: LOST COAST,Crime|Drama
17,HALF-LIFE DEATHMATCH: SOURCE,Drama|Romance
18,HALF-LIFE 2: EPISODE ONE,Comedy
19,PORTAL,Comedy
20,HALF-LIFE 2: EPISODE TWO,Action|Comedy|Crime|Drama|Thriller
21,TEAM FORTRESS 2,Comedy|Crime|Thriller
22,LEFT 4 DEAD,Crime|Drama|Horror|Mystery|Thriller
23,LEFT 4 DEAD 2,Action|Crime|Thriller
24,DOTA 2,Drama|Sci-Fi
25,PORTAL 2,Drama|Romance
26,ALIEN SWARM,Drama
27,PORTAL 2,Children|Drama
28,COUNTER-STRIKE: GLOBAL OFFENSIVE,Drama|Romance
29,RAG DOLL KUNG FU,Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,RED ORCHESTRA: OSTFRONT 41-45,Crime|Drama
31,KILLING FLOOR,Drama
32,SIN EPISODES: EMERGENCE,Mystery|Sci-Fi|Thriller
34,SIN EPISODES: EMERGENCE,Children|Drama
35,SIN EPISODES: EMERGENCE,Drama|Romance
36,DARWINIA,Crime|Drama
37,UPLINK,Documentary|IMAX
38,DEFCON,Children|Comedy
39,MULTIWINIA,Comedy|Romance
40,DANGEROUS WATERS,Drama
41,SPACE EMPIRES IV DELUXE,Drama|War
42,JAGGED ALLIANCE 2 GOLD,Action|Crime|Drama
43,DISCIPLES II: RISE OF THE ELVES,Drama
44,DISCIPLES II: GALLEANS RETURN,Action|Adventure|Fantasy
45,IRON WARRIORS: T - 72 TANK COMMAND,Comedy|Drama|Thriller
46,SPACE EMPIRES V,Drama|Romance
47,ARX FATALIS,Mystery|Thriller
48,SOURCE FILMMAKER,Animation|Children|Drama|Musical|Romance
49,EARTH 2160,Drama|Romance
50,TWO WORLDS EPIC EDITION,Crime|Mystery|Thriller
52,DARK MESSIAH OF MIGHT & MAGIC,Comedy|Drama|Romance
53,DARK MESSIAH OF MIGHT & MAGIC,Adventure|Drama
54,QUAKE III ARENA,Children|Comedy
55,QUAKE IV,Drama
57,WOLFENSTEIN 3D,Drama
58,ULTIMATE DOOM,Comedy|Drama|Romance
59,FINAL DOOM,Drama|Mystery
60,DOOM II,Adventure|Children|Fantasy
61,QUAKE,Drama|Thriller
62,QUAKE II,Drama
63,QUAKE II MISSION PACK: THE RECKONING,Comedy|Crime
64,QUAKE II MISSION PACK: GROUND ZERO,Comedy|Romance
65,QUAKE III: TEAM ARENA,Comedy
66,HEXEN: BEYOND HERETIC,Action|Sci-Fi|Thriller
68,HEXEN: DEATHKINGS OF THE DARK CITADEL,Comedy|Romance
69,HERETIC: SHADOW OF THE SERPENT RIDERS,Comedy
70,THE SHIP: MURDER PARTY,Action|Comedy|Horror|Thriller
71,THE SHIP: SINGLE PLAYER,Action
72,BLOODY GOOD TIME,Comedy|Drama
73,SHADOWGROUNDS,Drama|War
74,GUMBOY - CRAZY ADVENTURES(TM),Drama|Romance
76,GUMBOY - CRAZY ADVENTURES(TM),Action|Sci-Fi|Thriller
77,RIP - TRILOGY(TM),Documentary
78,RIP - TRILOGY(TM),Action|Crime|Drama|Thriller
79,RIP - TRILOGY(TM),Drama|Thriller
80,VIGIL: BLOOD BITTERNESS(TM),Children|Drama
81,ALPHA PRIME,Crime|Drama|Romance
82,VAMPIRE: THE MASQUERADE - BLOODLINES,Comedy|Drama
83,GUN(TM),Drama|Romance
84,CALL OF DUTY(R),Comedy|Drama
85,CALL OF DUTY(R) 2,Drama|Romance
86,CALL OF DUTY: UNITED OFFENSIVE,Action|Adventure|Drama
